sjis_hex,glyph_index,sjis_char,kor_char
0x8c63,1565,慶,렬
0x8c64,1566,慧,렴
0x8c65,1567,憩,렵
0x8c66,1568,掲,렷
0x8c67,1569,携,렸
0x8c68,1570,敬,령
0x8c69,1571,景,례
0x8c6a,1572,桂,롄
0x8c6b,1573,渓,롑
0x8c6c,1574,畦,롓
0x8c6d,1575,稽,로
0x8c6e,1576,系,록
0x8c6f,1577,経,론
0x8c70,1578,継,롤
0x8c71,1579,繋,롬
0x8c72,1580,罫,롭
0x8c73,1581,茎,롯
0x8c74,1582,荊,롱
0x8c75,1583,蛍,롸
0x8c76,1584,計,롼
0x8c77,1585,詣,뢍
0x8c78,1586,警,뢨
0x8c79,1587,軽,뢰
0x8c7a,1588,頚,뢴
0x8c7b,1589,鶏,뢸
0x8c7c,1590,芸,룀
0x8c7d,1591,迎,룁
0x8c7e,1592,鯨,룃
0x8c80,1593,劇,룅
0x8c81,1594,戟,료
0x8c82,1595,撃,룐
0x8c83,1596,激,룔
0x8c84,1597,隙,룝
0x8c85,1598,桁,룟
0x8c86,1599,傑,룡
0x8c87,1600,欠,루
0x8c88,1601,決,룩
0x8c89,1602,潔,룬
0x8c8a,1603,穴,룰
0x8c8b,1604,結,룸
0x8c8c,1605,血,룹
0x8c8d,1606,訣,룻
0x8c8e,1607,月,룽
0x8c8f,1608,件,뤄
0x8c90,1609,倹,뤘
0x8c91,1610,倦,뤠
0x8c92,1611,健,뤼
0x8c93,1612,兼,뤽
0x8c94,1613,券,륀
0x8c95,1614,剣,륄
0x8c96,1615,喧,륌
0x8c97,1616,圏,륏
0x8c98,1617,堅,륑
0x8c99,1618,嫌,류
0x8c9a,1619,建,륙
0x8c9b,1620,憲,륜
0x8c9c,1621,懸,률
0x8c9d,1622,拳,륨
0x8c9e,1623,捲,륩
0x8c9f,1624,検,륫
0x8ca0,1625,権,륭
0x8ca1,1626,牽,르
0x8ca2,1627,犬,륵
0x8ca3,1628,献,른
0x8ca4,1629,研,를
0x8ca5,1630,硯,름
0x8ca6,1631,絹,릅
0x8ca7,1632,県,릇
0x8ca8,1633,肩,릉
0x8ca9,1634,見,릊
0x8caa,1635,謙,릍
0x8cab,1636,賢,릎
0x8cac,1637,軒,리
0x8cad,1638,遣,릭
0x8cae,1639,鍵,린
0x8caf,1640,険,릴
0x8cb0,1641,顕,림
0x8cb1,1642,験,립
0x8cb2,1643,鹸,릿
0x8cb3,1644,元,링
0x8cb4,1645,原,마
0x8cb5,1646,厳,막
0x8cb6,1647,幻,만
0x8cb7,1648,弦,많
0x8cb8,1649,減,맏
0x8cb9,1650,源,말
0x8cba,1651,玄,맑
0x8cbb,1652,現,맒
0x8cbc,1653,絃,맘
0x8cbd,1654,舷,맙
0x8cbe,1655,言,맛
0x8cbf,1656,諺,망
0x8cc0,1657,限,맞
0x8cc1,1658,乎,맡
0x8cc2,1659,個,맣
0x8cc3,1660,古,매
0x8cc4,1661,呼,맥
0x8cc5,1662,固,맨
0x8cc6,1663,姑,맬
0x8cc7,1664,孤,맴
0x8cc8,1665,己,맵
0x8cc9,1666,庫,맷
0x8cca,1667,弧,맸
0x8ccb,1668,戸,맹
0x8ccc,1669,故,맺
0x8ccd,1670,枯,먀
0x8cce,1671,湖,먁
0x8ccf,1672,狐,먈
0x8cd0,1673,糊,먕
0x8cd1,1674,袴,머
0x8cd2,1675,股,먹
0x8cd3,1676,胡,먼
0x8cd4,1677,菰,멀
0x8cd5,1678,虎,멂
0x8cd6,1679,誇,멈
0x8cd7,1680,跨,멉
0x8cd8,1681,鈷,멋
0x8cd9,1682,雇,멍
0x8cda,1683,顧,멎
0x8cdb,1684,鼓,멓
0x8cdc,1685,五,메
0x8cdd,1686,互,멕
0x8cde,1687,伍,멘
0x8cdf,1688,午,멜
0x8ce0,1689,呉,멤
0x8ce1,1690,吾,멥
0x8ce2,1691,娯,멧
0x8ce3,1692,後,멨
0x8ce4,1693,御,멩
0x8ce5,1694,悟,며
0x8ce6,1695,梧,멱
0x8ce7,1696,檎,면
0x8ce8,1697,瑚,멸
0x8ce9,1698,碁,몃
0x8cea,1699,語,몄
0x8ceb,1700,誤,명
0x8cec,1701,護,몇
0x8ced,1702,醐,몌
0x8cee,1703,乞,모
0x8cef,1704,鯉,목
0x8cf0,1705,交,몫
0x8cf1,1706,佼,몬
0x8cf2,1707,侯,몰
0x8cf3,1708,候,몲
0x8cf4,1709,倖,몸
0x8cf5,1710,光,몹
0x8cf6,1711,公,못
0x8cf7,1712,功,몽
0x8cf8,1713,効,뫄
0x8cf9,1714,勾,뫈
0x8cfa,1715,厚,뫘
0x8cfb,1716,口,뫙
0x8cfc,1717,向,뫼
0x8d40,1718,后,묀
0x8d41,1719,喉,묄
0x8d42,1720,坑,묍
0x8d43,1721,垢,묏
0x8d44,1722,好,묑
0x8d45,1723,孔,묘
0x8d46,1724,孝,묜
0x8d47,1725,宏,묠
0x8d48,1726,工,묩
0x8d49,1727,巧,묫
0x8d4a,1728,巷,무
0x8d4b,1729,幸,묵
0x8d4c,1730,広,묶
0x8d4d,1731,庚,문
0x8d4e,1732,康,묻
0x8d4f,1733,弘,물
0x8d50,1734,恒,묽
0x8d51,1735,慌,묾
0x8d52,1736,抗,뭄
0x8d53,1737,拘,뭅
0x8d54,1738,控,뭇
0x8d55,1739,攻,뭉
0x8d56,1740,昂,뭍
0x8d57,1741,晃,뭏
0x8d58,1742,更,뭐
0x8d59,1743,杭,뭔
0x8d5a,1744,校,뭘
0x8d5b,1745,梗,뭡
0x8d5c,1746,構,뭣
0x8d5d,1747,江,뭬
0x8d5e,1748,洪,뮈
0x8d5f,1749,浩,뮌
0x8d60,1750,港,뮐
0x8d61,1751,溝,뮤
0x8d62,1752,甲,뮨
0x8d63,1753,皇,뮬
0x8d64,1754,硬,뮴
0x8d65,1755,稿,뮷
0x8d66,1756,糠,므
0x8d67,1757,紅,믄
0x8d68,1758,紘,믈
0x8d69,1759,絞,믐
0x8d6a,1760,綱,믓
0x8d6b,1761,耕,미
0x8d6c,1762,考,믹
0x8d6d,1763,肯,민
0x8d6e,1764,肱,믿
0x8d6f,1765,腔,밀
0x8d70,1766,膏,밂
0x8d71,1767,航,밈
0x8d72,1768,荒,밉
0x8d73,1769,行,밋
0x8d74,1770,衡,밌
0x8d75,1771,講,밍
0x8d76,1772,貢,및
0x8d77,1773,購,밑
0x8d78,1774,郊,바
0x8d79,1775,酵,박
0x8d7a,1776,鉱,밖
0x8d7b,1777,砿,밗
0x8d7c,1778,鋼,반
0x8d7d,1779,閤,받
0x8d7e,1780,降,발
0x8d80,1781,項,밝
0x8d81,1782,香,밞
0x8d82,1783,高,밟
0x8d83,1784,鴻,밤
0x8d84,1785,剛,밥
0x8d85,1786,劫,밧
0x8d86,1787,号,방
0x8d87,1788,合,밭
0x8d88,1789,壕,배
0x8d89,1790,拷,백
0x8d8a,1791,濠,밴
0x8d8b,1792,豪,밸
0x8d8c,1793,轟,뱀
0x8d8d,1794,麹,뱁
0x8d8e,1795,克,뱃
0x8d8f,1796,刻,뱄
0x8d90,1797,告,뱅
0x8d91,1798,国,뱉
0x8d92,1799,穀,뱌
0x8d93,1800,酷,뱍
0x8d94,1801,鵠,뱐
